"","X","Rk","School","G","TeamW","TeamL","W.L.","SRS","SOS","ConfW","ConfL","HomeW","HomeL","AwayW","AwayL","Tm.","Opp.","FTr","X3PAr","TS.","TRB.","AST.","BLK.","eFG.","TOV.","FT.FGA","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","year"
"25",25,25,"Birmingham-Southern",27,20,7,0.741,-3.27,-9.79,12,4,12,1,7,5,1998,1760,0.402,0.4,0.594,54.4,62.6,6,0.568,20.3,0.28,680,1412,0.482,243,565,0.43,395,568,0.695,NA,963,426,205,87,428,520,2003
"45",45,45,"Centenary (LA)",28,16,12,0.571,-2.43,-2.39,10,6,13,0,3,10,1966,1905,0.433,0.282,0.565,49.9,51.6,6,0.525,19.4,0.311,684,1444,0.474,149,407,0.366,449,625,0.718,NA,852,353,247,85,420,616,2003
"127",127,127,"Fort Wayne",28,3,25,0.107,-10.58,1,NA,NA,3,7,0,16,1736,2028,0.334,0.335,0.502,50.3,57.1,5.7,0.473,20.1,0.218,630,1492,0.422,151,500,0.302,325,498,0.653,294,941,360,152,89,435,514,2003
"192",192,192,"New Orleans",31,17,14,0.548,-2.36,-0.53,9,6,9,3,4,9,2160,2195,0.388,0.286,0.5,49.3,47.8,6.2,0.467,15.7,0.249,760,1825,0.416,185,522,0.354,455,709,0.642,412,1158,363,202,112,404,579,2003
"351",351,25,"Birmingham-Southern",30,16,14,0.533,-7.24,-8.24,7,9,7,4,6,9,1974,1893,0.459,0.401,0.56,52.3,52,4.4,0.517,18.5,0.331,644,1446,0.445,207,580,0.357,479,664,0.721,NA,996,335,157,66,400,587,2004
"371",371,45,"Centenary (LA)",27,3,24,0.111,-16.77,-1.84,1,15,2,9,1,14,1734,2103,0.365,0.345,0.521,44.9,51.2,3.2,0.482,21.4,0.26,594,1417,0.419,178,489,0.364,368,517,0.712,NA,795,304,166,47,453,595,2004
"453",453,127,"Fort Wayne",29,7,22,0.241,-11.58,-1.78,NA,NA,6,5,0,16,1789,2046,0.326,0.365,0.5,49.3,53.1,6.7,0.472,20.3,0.21,637,1550,0.411,190,565,0.336,325,505,0.644,335,957,338,176,106,455,512,2004
"518",518,192,"New Orleans",30,13,17,0.433,-3.21,0.1,7,8,9,3,3,10,2001,2078,0.359,0.27,0.499,49.7,54.9,4.1,0.47,15.9,0.228,730,1714,0.426,150,463,0.324,391,615,0.636,399,1069,401,184,68,380,560,2004
"677",677,25,"Birmingham-Southern",28,19,9,0.679,-5.81,-8.12,12,4,11,2,6,7,1922,1794,0.427,0.409,0.567,53.4,56,3.6,0.537,17.1,0.291,650,1408,0.462,212,576,0.368,410,601,0.682,NA,928,364,177,50,349,508,2005
"691",691,39,"UC-Davis",28,8,20,0.286,NA,NA,NA,NA,5,8,2,11,1843,2052,0.381,0.327,0.526,44.6,53.6,3.4,0.487,18.2,0.269,636,1484,0.429,172,486,0.354,399,566,0.705,257,792,341,189,49,391,572,2005
"698",698,46,"Centenary (LA)",27,4,23,0.148,-15.59,-3.78,2,14,3,10,1,13,1796,2092,0.335,0.317,0.53,47.1,62.7,4.5,0.496,22,0.237,641,1462,0.438,167,463,0.361,347,490,0.708,NA,871,402,176,70,479,532,2005
"780",780,128,"Purdue-Fort Wayne",28,10,18,0.357,-11.33,-0.07,NA,NA,6,5,4,13,1786,1940,0.266,0.364,0.513,46,49.1,3.8,0.483,17.6,0.189,646,1546,0.418,202,563,0.359,292,412,0.709,260,865,317,189,58,371,480,2005
"788",788,136,"Kennesaw State",29,12,17,0.414,NA,NA,10,10,6,6,5,9,2039,2189,0.359,0.399,0.506,44.8,54.1,4.4,0.469,16.5,0.248,701,1720,0.408,211,686,0.308,426,617,0.69,363,902,379,270,70,398,535,2005
"799",799,147,"Longwood",30,10,20,0.333,NA,NA,NA,NA,8,4,1,13,2194,2357,0.383,0.283,0.512,50.1,58.6,5,0.477,18.7,0.256,782,1814,0.431,165,513,0.322,465,694,0.67,405,1116,458,223,89,494,598,2005
"847",847,195,"New Orleans",29,10,19,0.345,-6.42,0.21,6,9,6,3,1,13,1912,2039,0.349,0.315,0.514,48.3,57.7,5,0.485,18.8,0.228,685,1596,0.429,178,502,0.355,364,557,0.654,330,964,395,196,80,430,515,2005
"850",850,198,"NJIT",27,8,19,0.296,NA,NA,NA,NA,0,0,0,0,1801,1937,0.373,0.349,0.524,NA,43.4,NA,0.493,NA,0.248,638,1460,0.437,163,509,0.32,362,544,0.665,NA,897,277,187,59,NA,NA,2005
"858",858,206,"North Dakota State",28,16,12,0.571,NA,NA,NA,NA,12,1,2,11,2027,1857,0.411,0.291,0.564,55.7,56.8,6.9,0.524,19.9,0.301,699,1503,0.465,176,438,0.402,453,618,0.733,355,1048,397,169,107,447,512,2005
"859",859,207,"North Florida",28,6,22,0.214,NA,NA,3,17,6,7,0,14,1945,2119,0.363,0.285,0.532,49.1,53.5,4.3,0.493,20,0.262,692,1560,0.444,153,444,0.345,408,567,0.72,332,945,370,176,71,458,511,2005
"863",863,211,"Northern Colorado",29,5,24,0.172,NA,NA,NA,NA,5,7,0,14,1913,2132,0.369,0.293,0.529,52,65.2,4.5,0.499,21.7,0.246,686,1539,0.446,163,451,0.361,378,568,0.665,361,985,447,152,72,501,595,2005
"917",917,265,"South Dakota State",29,9,20,0.31,NA,NA,NA,NA,6,5,2,14,1836,2151,0.34,0.282,0.489,50.7,52.8,3.6,0.451,22.2,0.234,651,1617,0.403,156,456,0.342,378,549,0.689,383,1036,344,194,60,536,523,2005
"958",958,306,"Utah Valley",29,16,13,0.552,NA,NA,NA,NA,12,2,4,9,1923,1854,0.368,0.295,0.536,48.1,59.4,5.2,0.501,15.9,0.259,689,1526,0.452,150,450,0.333,395,562,0.703,275,887,409,200,77,338,537,2005
"1025",1025,38,"UC-Davis",31,9,22,0.29,-15.02,-2.68,2,14,8,7,1,15,1962,2215,0.341,0.421,0.559,44.4,60.5,4.7,0.517,21.4,0.266,668,1510,0.442,225,636,0.354,401,515,0.779,216,819,404,188,79,477,530,2007
"1032",1032,45,"Centenary (LA)",31,10,21,0.323,-10.86,-1.71,4,14,6,6,3,14,2164,2395,0.376,0.328,0.536,45.7,54.2,5.1,0.497,19.2,0.27,745,1712,0.435,212,562,0.377,462,644,0.717,NA,954,404,235,88,479,669,2007
"1114",1114,127,"Fort Wayne",31,13,18,0.419,-5.25,0.96,9,9,10,3,2,14,2135,2171,0.38,0.34,0.558,46.4,56.4,6.5,0.52,18.1,0.278,740,1620,0.457,204,551,0.37,451,615,0.733,203,938,417,176,113,424,561,2007
"1132",1132,145,"Longwood",31,9,22,0.29,-18.73,-4.92,NA,NA,7,5,2,15,2120,2394,0.301,0.378,0.5,48.8,63.3,4,0.47,19.4,0.203,743,1855,0.401,258,702,0.368,376,558,0.674,423,1091,470,247,70,509,598,2007
"1180",1180,193,"New Orleans",32,19,13,0.594,-3.06,-3.56,8,10,8,7,9,5,2352,2287,0.367,0.277,0.542,48.3,45.9,3.3,0.503,15.1,0.268,838,1847,0.454,181,511,0.354,495,677,0.731,328,1040,385,232,58,387,641,2007
"1193",1193,206,"Northern Colorado",29,13,16,0.448,-7.05,-4.71,6,10,9,4,3,12,2004,2037,0.415,0.336,0.532,52.8,54,3,0.49,21.5,0.294,681,1574,0.433,179,529,0.338,463,653,0.709,356,1033,368,209,46,516,582,2007
"1353",1353,38,"UC-Davis",32,13,19,0.406,-4.13,-3.4,7,9,5,8,6,9,2338,2372,0.379,0.392,0.576,48.2,62.8,4.4,0.532,18.3,0.295,793,1720,0.461,244,674,0.362,508,652,0.779,259,1009,498,196,70,456,618,2008
"1360",1360,45,"Centenary (LA)",31,8,23,0.258,-8.46,-1.56,6,12,4,5,2,15,1993,2207,0.319,0.391,0.503,43.4,53.6,5.7,0.47,17.7,0.217,694,1722,0.403,232,673,0.345,373,549,0.679,NA,924,372,276,82,425,680,2008
"1442",1442,127,"Fort Wayne",30,13,17,0.433,-5.42,-0.64,8,10,8,5,5,11,1970,2055,0.36,0.305,0.537,47.2,47.9,6.6,0.497,17.4,0.264,681,1566,0.435,195,477,0.409,413,563,0.734,259,909,326,146,96,386,554,2008
"1460",1460,145,"Longwood",31,17,14,0.548,-12.38,-6.51,NA,NA,13,2,3,11,2400,2349,0.311,0.365,0.519,45.7,58.1,5.1,0.49,16.4,0.211,864,2015,0.429,246,736,0.334,426,626,0.681,393,1077,502,310,84,452,679,2008
"1508",1508,193,"New Orleans",30,11,19,0.367,-9.79,-4.08,6,12,9,6,2,13,1863,2000,0.408,0.234,0.507,48.4,43.5,3.7,0.47,19.6,0.269,672,1540,0.436,105,361,0.291,414,628,0.659,288,952,292,187,53,449,540,2008
"1518",1518,203,"North Dakota State",33,26,7,0.788,6.18,-2.72,16,2,12,1,10,4,2659,2279,0.374,0.299,0.583,53.1,51.5,6.3,0.549,14,0.276,943,1936,0.487,238,578,0.412,535,724,0.739,363,1171,486,230,108,370,539,2008
"1522",1522,207,"Northern Colorado",32,14,18,0.438,-4.57,-3.64,8,8,10,4,3,13,2259,2266,0.448,0.344,0.569,51.4,52.9,3.6,0.527,19.9,0.324,751,1638,0.458,226,563,0.401,531,734,0.723,309,1032,397,219,53,494,627,2008
"1576",1576,261,"South Dakota State",33,13,20,0.394,-5.83,-1.45,7,11,10,3,1,15,2280,2346,0.343,0.346,0.534,50.9,48.1,3,0.5,16.6,0.241,810,1837,0.441,218,636,0.343,442,631,0.7,387,1130,390,151,50,426,601,2008
"1683",1683,38,"UC-Davis",32,14,18,0.438,-6.23,-3.01,8,8,8,5,4,11,2225,2262,0.429,0.346,0.544,48.6,59.4,8,0.504,19.1,0.302,751,1700,0.442,210,589,0.357,513,729,0.704,296,1015,446,247,90,482,641,2009
"1690",1690,45,"Centenary (LA)",29,8,21,0.276,-17.16,-5.08,3,15,5,9,3,11,2056,2320,0.382,0.391,0.529,43.9,56,5.8,0.485,18.5,0.28,684,1645,0.416,227,644,0.352,461,629,0.733,274,874,383,231,65,442,617,2009
"1772",1772,127,"Fort Wayne",31,16,15,0.516,-9.42,-4.73,9,9,10,4,5,10,2129,2112,0.332,0.326,0.514,49.3,50.3,11.6,0.479,16.1,0.231,747,1790,0.417,221,583,0.379,414,595,0.696,335,1103,376,183,145,398,592,2009
"1780",1780,135,"Kennesaw State",33,13,20,0.394,-10.08,-3.69,7,13,8,6,3,12,2182,2314,0.29,0.372,0.498,48.5,53.2,9.3,0.469,18,0.197,784,1924,0.407,235,715,0.329,379,557,0.68,450,1166,417,218,121,480,529,2009
"1791",1791,146,"Longwood",31,12,19,0.387,-14.69,-3.74,NA,NA,9,3,3,14,2297,2437,0.282,0.322,0.516,47.9,61,5.2,0.493,17.6,0.184,859,1963,0.438,217,632,0.343,362,554,0.653,388,1091,524,221,69,475,652,2009
"1839",1839,194,"New Orleans",30,8,22,0.267,-13.5,-4.5,3,15,6,7,2,11,1778,1986,0.42,0.338,0.504,49.2,54.1,5.8,0.46,21.3,0.288,593,1471,0.403,168,497,0.338,424,618,0.686,279,951,321,189,61,478,607,2009
"1842",1842,197,"NJIT",31,10,21,0.323,-19.59,-8.24,4,8,8,5,1,15,1905,2070,0.332,0.355,0.468,47.6,56.5,8.7,0.434,18.5,0.216,665,1757,0.378,196,624,0.314,379,584,0.649,344,1064,376,229,96,461,615,2009
"1850",1850,205,"North Dakota State",29,11,18,0.379,-8.53,-5.76,8,10,6,8,5,9,2047,2087,0.35,0.248,0.514,51,55.9,7.7,0.472,16.1,0.255,734,1707,0.43,144,423,0.34,435,597,0.729,320,1073,410,151,94,382,553,2009
