Rk,School,G,TeamW,TeamL,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force NCAA,29,22,7,0.759,9.12,0.08,12,2,13,0,8,5,1737,1475,,,0.373,0.532,0.607,43.4,66,,5.7,0.582,18.2,,0.265,1160,585,1216,0.481,245,647,0.379,322,453,0.711,174,623,386,225,68,318,481
2,Akron,28,13,15,0.464,-0.39,0,7,11,9,4,4,11,2009,2020,,,0.461,0.32,0.552,48.6,60.8,,4.3,0.524,18.4,,0.298,,696,1492,0.466,173,477,0.363,444,688,0.645,314,940,423,207,71,410,544
3,Alabama A&M,30,13,17,0.433,-15.88,-12.29,9,9,8,4,3,12,2113,2220,,,0.4,0.333,0.504,48.8,52.4,,4.5,0.462,18.8,,0.275,,721,1762,0.409,186,586,0.317,485,705,0.688,387,1112,378,220,78,487,650
4,Alabama-Birmingham NCAA,32,22,10,0.688,11.76,5.63,12,4,14,1,5,5,2414,2218,,,0.327,0.322,0.521,46.6,63.9,,6.5,0.493,15.7,,0.218,1285,882,2006,0.44,213,646,0.33,437,656,0.666,401,1119,564,371,115,431,681
5,Alabama State NCAA,31,16,15,0.516,-11.1,-10.78,11,7,7,4,5,9,1904,1913,,,0.454,0.339,0.514,51.9,49.3,,5.8,0.476,22.5,,0.297,,639,1523,0.42,173,517,0.335,453,691,0.656,360,1066,315,219,95,537,581
6,Alabama NCAA,33,20,13,0.606,14.29,10.2,8,8,11,4,4,6,2380,2245,,,0.408,0.342,0.553,50.4,48.6,,5.9,0.516,16.4,,0.289,,813,1802,0.451,233,616,0.378,521,735,0.709,366,1148,395,213,111,423,598
7,Albany (NY),28,5,23,0.179,-15.33,-7.47,3,15,3,10,2,12,1621,1841,,,0.263,0.305,0.483,47.2,52.5,,4,0.446,20.8,,0.194,1140,598,1493,0.401,135,455,0.297,290,393,0.738,286,916,314,188,63,441,474
8,Alcorn State,29,11,18,0.379,-20.17,-11.79,9,9,6,6,4,11,1855,2098,,,0.389,0.303,0.515,49.7,50.9,,3.7,0.478,23.7,,0.264,1160,646,1520,0.425,162,461,0.351,401,592,0.677,329,962,329,179,62,560,565
9,American,31,18,13,0.581,-4.59,-7.04,10,4,7,4,7,8,2092,2016,,,0.391,0.341,0.537,52.1,56.6,,4.4,0.505,18.5,,0.264,,726,1643,0.442,206,560,0.368,434,642,0.676,331,1067,411,240,72,441,564
10,Appalachian State,30,9,21,0.3,-5.83,-1.18,4,12,4,8,4,11,2091,2170,,,0.295,0.334,0.489,47.1,57,,8.2,0.463,18.8,,0.189,1205,766,1875,0.409,204,626,0.326,355,554,0.641,407,1047,437,324,138,494,609
